keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'Energiewende',0.13791894618478126,0.9847857586132971,-0.0626398727487112,0.8693293727976058,23.0
'Gesundheit Klimawandel',-1.3104093846387417,0.8531987240170905,-0.6536414850751412,1.0,2.0
'Klimaextreme Klimawandel',-0.16156769690986328,0.8108807742908193,-0.5543953787617866,0.10344249429073589,4.0
'Klimawandel Emissionen',-0.20829451743533228,1.0336506450245342,-0.09358690117606311,0.6949932027393692,3.0
'Klimawandel Kohlendioxid',-0.29310519088027454,1.0,-0.5773502691896256,1.0,1.0
'Klimawandel Migration',0.10892666773344914,0.690542938327866,0.2961847413344954,1.2141246836922415,2.0
'Klimawandel Treibhausgase',0.16047145263938142,1.0650358538438265,-0.1715475958552709,0.6713416314163209,3.0
'Klimawandel Ursachen',-0.18344222727410828,0.42667308746690524,-0.16331533084559874,0.8857939819144818,4.0
'Klimawandel Verursacher',-1.2841661642335864,1.0,2.154297804717349,1.0,1.0
'Klimawandel',0.056399240923233306,0.9173192182563065,0.11460124668405713,0.971251787829927,24.0
'Landwirtschaft Klimawandel',0.03880521558839398,0.6088204638384764,0.007552155198570098,1.135806547022264,5.0
'Ökologie Klimawandel',0.2885533905932738,0.5919238815542512,0.4535533905932736,0.3585786437626903,2.0
